req_id,job_title,department,job_level,posted_date,status,current_stage,num_applicants,num_screened,num_phone_interviews,num_onsite_interviews,num_offers,days_to_hire,days_open,source,hiring_manager,priority
REQ-00001,Sales Manager,Legal & Compliance,VP,2025-06-18,Open,Sourcing,140,79,26,15,0,,126,Company Website,Marcus Johnson,Medium
REQ-00002,Sales Manager,Executive Leadership,VP,2025-08-26,Closed,Withdrawn,131,59,23,13,0,,57,Career Fair,Marcus Johnson,Medium
REQ-00003,Production Supervisor,Manufacturing,Manager,2025-10-02,Open,Screening,132,65,31,18,0,,20,Career Fair,Nicole Sanders,Low
REQ-00004,Financial Analyst,Human Resources,Entry,2025-06-07,Open,Technical Interview,121,50,16,9,0,,137,LinkedIn,Kevin O'Brien,High
REQ-00005,Marketing Specialist,Product Development,Lead,2025-10-04,Open,Phone Interview,140,42,19,11,0,,18,Career Fair,Chris Patel,High
REQ-00006,Operations Manager,Customer Service,Lead,2025-10-19,Open,Final Interview,111,37,10,6,0,,3,Indeed,Kevin O'Brien,Low
REQ-00007,Robotics Engineer,Human Resources,Director,2025-09-09,Open,Phone Interview,47,21,6,3,0,,43,Recruiter,Jennifer Park,Medium
REQ-00008,Marketing Specialist,Quality Assurance,Lead,2025-09-15,Closed,Accepted,118,44,19,11,1,50,37,Recruiter,Nicole Sanders,High
REQ-00009,Robotics Engineer,Product Development,Lead,2025-09-06,Closed,Rejected,103,36,9,5,0,,46,Referral,Nicole Sanders,Medium
REQ-00010,Sales Representative,Legal & Compliance,Entry,2025-06-26,Open,Phone Interview,56,27,5,3,0,,118,Company Website,Amanda Foster,High
REQ-00011,Sales Manager,Product Development,Manager,2025-09-17,Open,Technical Interview,128,75,35,21,0,,35,Indeed,Jennifer Park,High
REQ-00012,Technical Support Engineer,Finance,Senior,2025-08-11,Open,Screening,129,39,15,9,0,,72,Company Website,Marcus Johnson,Medium
REQ-00013,Marketing Manager,Legal & Compliance,Entry,2025-06-30,Open,Phone Interview,131,47,19,11,0,,114,Career Fair,Nicole Sanders,Low
REQ-00014,Customer Support Specialist,Sales & Marketing,Senior,2025-05-26,Open,Offer,88,39,15,9,1,,149,Indeed,Nicole Sanders,Low
REQ-00015,Senior Software Engineer,Executive Leadership,VP,2025-05-06,Open,Phone Interview,16,9,2,1,0,,169,Indeed,Kevin O'Brien,Medium
REQ-00016,Marketing Manager,Customer Service,Entry,2025-05-13,Open,Screening,116,54,20,12,0,,162,Recruiter,Kevin O'Brien,Medium
REQ-00017,Marketing Manager,Quality Assurance,Entry,2025-07-04,Open,Screening,117,55,18,10,0,,110,Referral,Jennifer Park,High
REQ-00018,Account Executive,Human Resources,Entry,2025-10-04,Open,Sourcing,97,51,11,6,0,,18,Referral,Jennifer Park,Medium
REQ-00019,Financial Analyst,IT & Systems,Manager,2025-07-21,Open,Technical Interview,25,11,2,1,0,,93,Referral,Nicole Sanders,High
REQ-00020,Production Supervisor,Human Resources,Manager,2025-05-28,Open,Phone Interview,105,49,16,9,0,,147,Indeed,Marcus Johnson,Low
REQ-00021,Customer Support Specialist,Human Resources,Director,2025-04-28,Open,Offer,71,28,8,4,1,,177,Indeed,Jennifer Park,Medium
REQ-00022,Sales Representative,Human Resources,Mid,2025-05-09,Closed,Withdrawn,47,24,5,3,0,,166,Recruiter,Chris Patel,Low
REQ-00023,Technical Support Engineer,Quality Assurance,Senior,2025-07-15,Open,Final Interview,122,58,21,12,0,,99,Recruiter,Marcus Johnson,High
REQ-00024,Sales Manager,Legal & Compliance,Senior,2025-10-16,Closed,Withdrawn,46,16,5,3,0,,6,Referral,Amanda Foster,High
REQ-00025,Customer Support Specialist,Manufacturing,Executive,2025-06-10,Closed,Rejected,22,9,4,2,0,,134,Recruiter,Marcus Johnson,Low
REQ-00026,Account Executive,Product Development,VP,2025-07-06,Open,Final Interview,135,54,17,10,0,,108,Indeed,Kevin O'Brien,Medium
REQ-00027,Quality Engineer,Sales & Marketing,Director,2025-09-06,Open,Sourcing,57,19,4,2,0,,46,LinkedIn,Nicole Sanders,High
REQ-00028,Senior Software Engineer,Manufacturing,Director,2025-09-29,Closed,Accepted,51,26,11,6,1,63,23,Company Website,Marcus Johnson,Low
REQ-00029,Marketing Specialist,Human Resources,Mid,2025-05-24,Open,Phone Interview,122,62,30,18,0,,151,Recruiter,Marcus Johnson,Medium
REQ-00030,Robotics Engineer,Executive Leadership,Executive,2025-10-11,Open,Offer,92,46,9,5,1,,11,Indeed,Kevin O'Brien,Medium
REQ-00031,Production Supervisor,Executive Leadership,Mid,2025-08-08,Open,Screening,133,49,20,12,0,,75,Recruiter,Chris Patel,Low
