vendor_id,vendor_name,category
VEN-001,Precision Components Inc,Component Supplier
VEN-002,TechMotion Systems,Component Supplier
VEN-003,Industrial Sensors Co,Component Supplier
VEN-004,Atlas Logistics,Logistics Provider
VEN-005,CloudSoft Solutions,Software Vendor
VEN-006,Enterprise Systems Inc,Software Vendor
VEN-007,DataGuard Security,Software Vendor
VEN-008,BuildRight Construction,Facility Services
VEN-009,Bright Marketing Group,Marketing Agency
VEN-010,Strategic Advisors LLC,Consulting
VEN-011,Premier Insurance Group,Insurance Provider
VEN-012,Elite Equipment Supply,Equipment Supplier
VEN-013,Global Freight Services,Logistics Provider
VEN-014,Innovation Labs,Professional Services
VEN-015,Metro Facilities Management,Facility Services
