order_id,customer_id,order_date,subtotal,discount,tax,shipping,total,payment_method,payment_terms,order_status,shipping_address,shipping_city,shipping_state,shipping_zip,sales_channel,sales_rep
ORD100000,CUST10265,2024-08-26,138139,6906,11051.12,0,142284.12,Financing,Prepaid,Completed,8231 Manufacturing Dr,Chicago,WA,96146,Phone,Jessica Martinez
ORD100001,CUST10069,2024-03-18,24923,0,1993.84,0,26916.84,Purchase Order,Prepaid,Completed,9231 Manufacturing Way,Chicago,CO,78578,Online,David Martinez
ORD100002,CUST10015,2023-04-18,82321,4116,6585.68,0,84790.68,Wire Transfer,Net 30,Completed,1406 Manufacturing Blvd,Chicago,TX,63871,Direct Sales,Jessica Martinez
ORD100003,CUST10049,2024-01-25,44824,0,3585.92,0,48409.92,Financing,Prepaid,Shipped,4896 Tech Way,Austin,OR,29829,Partner,Jessica Martinez
ORD100004,CUST10057,2024-02-25,12184,0,974.72,0,13158.72,Wire Transfer,50/50,Completed,6017 Tech Parkway,Boston,CO,60614,Phone,Jessica Martinez
ORD100005,CUST10300,2024-01-31,109147,10914,8731.76,0,106964.76,Wire Transfer,50/50,Cancelled,161 Business Blvd,Minneapolis,CO,10738,Phone,Chris Patel
ORD100006,CUST10449,2023-09-09,51207,5120,4096.56,0,50183.56,Purchase Order,Prepaid,Cancelled,1881 Commerce Blvd,Detroit,IL,36734,Phone,Chris Patel
ORD100007,CUST10388,2023-07-01,208223,20822,16657.84,0,204058.84,Purchase Order,Net 60,In Production,2668 Industrial Parkway,Detroit,TX,43236,Phone,David Martinez
ORD100008,CUST10483,2023-06-05,18747,0,1499.76,0,20246.76,Credit Card,Financing 24mo,Shipped,7507 Manufacturing Dr,Boston,IL,40408,Direct Sales,David Martinez
ORD100009,CUST10456,2023-04-08,46625,0,3730.0,0,50355.0,Financing,Prepaid,Completed,8131 Business Parkway,Detroit,WA,85915,Direct Sales,David Martinez
ORD100010,CUST10328,2024-07-16,138972,13897,11117.76,0,136192.76,Credit Card,Prepaid,Completed,9770 Tech Parkway,Austin,CO,91122,Phone,Jessica Martinez
ORD100011,CUST10382,2024-10-30,93264,9326,7461.12,0,91399.12,Wire Transfer,Prepaid,Completed,9202 Business Blvd,Boston,MA,34355,Direct Sales,Chris Patel
ORD100012,CUST10434,2024-10-01,126174,6308,10093.92,0,129959.92,Purchase Order,Financing 24mo,Cancelled,5228 Manufacturing Way,Denver,OR,55942,Partner,Chris Patel
ORD100013,CUST10115,2024-08-23,75946,3797,6075.68,0,78224.68,Purchase Order,50/50,Completed,1968 Industrial Dr,Chicago,WA,17524,Direct Sales,David Martinez
ORD100014,CUST10382,2024-09-03,142685,7134,11414.8,0,146965.8,Wire Transfer,Net 30,Completed,9202 Business Blvd,Boston,MA,34355,Phone,David Martinez
ORD100015,CUST10015,2024-06-12,110781,5539,8862.48,0,114104.48,Financing,Net 30,Completed,1406 Manufacturing Blvd,Chicago,TX,63871,Phone,Chris Patel
ORD100016,CUST10114,2023-01-14,113470,11347,9077.6,0,111200.6,Credit Card,Net 30,Completed,2138 Tech Way,Seattle,OR,17401,Partner,David Martinez
ORD100017,CUST10285,2023-04-11,137139,13713,10971.12,0,134397.12,Purchase Order,50/50,Cancelled,722 Industrial Dr,Detroit,MA,41220,Partner,David Martinez
ORD100018,CUST10372,2024-03-29,57510,2875,4600.8,0,59235.8,Purchase Order,Net 30,Shipped,2859 Industrial Dr,Portland,MA,19854,Online,Chris Patel
ORD100019,CUST10287,2024-12-25,10900,0,872.0,0,11772.0,Credit Card,Net 60,In Production,1382 Industrial Parkway,Detroit,TX,95709,Online,David Martinez
ORD100020,CUST10030,2023-01-18,55459,2772,4436.72,0,57123.72,Purchase Order,50/50,Completed,824 Industrial Dr,Seattle,OR,15830,Direct Sales,David Martinez
ORD100021,CUST10093,2023-09-04,227965,22796,18237.2,0,223406.2,Financing,Financing 24mo,Completed,7358 Manufacturing Parkway,Denver,MN,98064,Direct Sales,David Martinez
ORD100022,CUST10256,2024-06-09,18747,0,1499.76,0,20246.76,Wire Transfer,Financing 24mo,Shipped,1386 Industrial Parkway,Chicago,MA,11532,Online,Jessica Martinez
ORD100023,CUST10073,2024-11-18,23324,0,1865.92,0,25189.92,Purchase Order,50/50,Completed,7523 Commerce Way,Boston,MN,43617,Online,Chris Patel
ORD100024,CUST10016,2023-04-07,67117,6711,5369.36,0,65775.36,Wire Transfer,Net 60,In Production,5505 Business Dr,Denver,TX,50789,Direct Sales,Chris Patel
ORD100025,CUST10280,2023-08-12,32282,0,2582.56,0,34864.56,Financing,Net 30,Completed,4354 Manufacturing Way,Austin,MN,50857,Online,Jessica Martinez
ORD100026,CUST10306,2023-03-02,37901,0,3032.08,0,40933.08,Purchase Order,Prepaid,Shipped,9245 Manufacturing Way,Austin,WA,83487,Partner,David Martinez
ORD100027,CUST10232,2023-01-18,61702,6170,4936.16,0,60468.16,Wire Transfer,50/50,Shipped,9767 Industrial Dr,Boston,MI,33468,Phone,David Martinez
ORD100028,CUST10244,2023-04-04,60116,6011,4809.28,0,58914.28,Wire Transfer,Net 30,Shipped,183 Tech Dr,Seattle,TX,31036,Direct Sales,David Martinez
ORD100029,CUST10495,2023-04-27,37342,0,2987.36,0,40329.36,Financing,Prepaid,Completed,3064 Commerce Parkway,Boston,MN,65880,Direct Sales,Chris Patel
ORD100030,CUST10197,2024-01-05,26076,0,2086.08,0,28162.08,Purchase Order,50/50,Completed,3922 Tech Dr,Chicago,WA,30291,Partner,David Martinez
ORD100031,CUST10446,2023-07-15,141227,7061,11298.16,0,145464.16,Purchase Order,Prepaid,Cancelled,1147 Commerce Blvd,Portland,MN,93670,Phone,David Martinez
