invoice_id,customer_id,order_id,invoice_date,due_date,subtotal,tax,shipping,total,payment_status,payment_date,payment_method,notes
INV-20240001,CUST10291,ORD100088,2024-11-28,2024-12-28,4988,399.04,315,5702.04,Paid,2024-12-08,Wire Transfer,Payment received - thank you
INV-20240002,CUST10380,ORD100184,2023-10-20,2023-11-19,147907,11832.56,0,144949.56,Paid,2023-10-31,Purchase Order,Net 30 payment terms
INV-20240003,CUST10326,ORD100155,2023-12-16,2024-01-15,80228,6418.24,0,82635.24,Paid,2024-01-09,Credit Card,Contact accounting for questions
INV-20240004,CUST10100,ORD100404,2023-08-10,2023-09-09,78751,6300.08,0,77176.08,Overdue,,Purchase Order,
INV-20240005,CUST10253,ORD100793,2024-12-14,2025-01-13,30220,2417.6,0,32637.6,Paid,2025-01-01,Financing,Payment received - thank you
INV-20240006,CUST10015,ORD100622,2024-04-17,2024-05-17,105765,8461.2,0,103650.2,Paid,2024-04-28,Wire Transfer,
INV-20240007,CUST10135,ORD100201,2024-10-25,2024-11-24,18390,1471.2,0,19861.2,Pending,,Credit Card,Payment received - thank you
INV-20240008,CUST10220,ORD100042,2023-05-03,2023-06-02,105219,8417.52,0,103115.52,Pending,,Wire Transfer,
INV-20240009,CUST10010,ORD100987,2023-06-23,2023-07-23,7488,599.04,90,8177.04,Pending,,Credit Card,
INV-20240010,CUST10448,ORD100812,2024-02-24,2024-03-25,23324,1865.92,0,25189.92,Overdue,,Wire Transfer,Thank you for your business
INV-20240011,CUST10382,ORD100011,2024-10-31,2024-11-30,93264,7461.12,0,91399.12,Paid,2024-11-25,Wire Transfer,Payment received - thank you
INV-20240012,CUST10261,ORD100873,2023-02-07,2023-03-09,53047,4243.76,0,51986.76,Overdue,,Purchase Order,Contact accounting for questions
INV-20240013,CUST10410,ORD100328,2023-06-02,2023-07-02,76134,6090.72,0,74611.72,Paid,2023-06-29,Purchase Order,
INV-20240014,CUST10487,ORD100917,2023-07-16,2023-08-15,118079,9446.32,0,121622.32,Overdue,,Financing,Thank you for your business
INV-20240015,CUST10030,ORD100020,2023-01-22,2023-02-21,55459,4436.72,0,57123.72,Paid,2023-02-15,Purchase Order,Payment received - thank you
INV-20240016,CUST10249,ORD100234,2024-11-20,2024-12-20,27488,2199.04,0,29687.04,Pending,,Purchase Order,
INV-20240017,CUST10314,ORD100457,2023-05-23,2023-06-22,175939,14075.12,0,181218.12,Paid,2023-06-11,Wire Transfer,Thank you for your business
INV-20240018,CUST10435,ORD100305,2023-11-12,2023-12-12,41829,3346.32,0,45175.32,Paid,2023-12-10,Credit Card,Thank you for your business
INV-20240019,CUST10482,ORD100243,2023-07-16,2023-08-15,193882,15510.56,0,190004.56,Pending,,Purchase Order,Contact accounting for questions
INV-20240020,CUST10221,ORD100910,2024-09-17,2024-10-17,46844,3747.52,0,50591.52,Pending,,Purchase Order,
INV-20240021,CUST10341,ORD100648,2023-02-05,2023-03-07,35684,2854.72,0,38538.72,Paid,2023-02-17,Purchase Order,Thank you for your business
INV-20240022,CUST10468,ORD100954,2024-05-23,2024-06-22,128622,10289.76,0,132480.76,Overdue,,Purchase Order,
INV-20240023,CUST10283,ORD100951,2023-11-03,2023-12-03,65457,5236.56,0,64148.56,Overdue,,Purchase Order,Payment received - thank you
INV-20240024,CUST10142,ORD100183,2023-04-27,2023-05-27,18308,1464.64,0,19772.64,Paid,2023-05-27,Financing,Contact accounting for questions
INV-20240025,CUST10462,ORD100835,2024-11-24,2024-12-24,18747,1499.76,0,20246.76,Paid,2024-11-30,Purchase Order,
INV-20240026,CUST10036,ORD100113,2024-10-30,2024-11-29,119831,9586.48,0,123426.48,Pending,,Credit Card,Net 30 payment terms
INV-20240027,CUST10497,ORD100343,2024-07-27,2024-08-26,87456,6996.48,0,90080.48,Paid,2024-08-02,Purchase Order,
INV-20240028,CUST10456,ORD100375,2023-06-29,2023-07-29,54442,4355.36,0,53353.36,Paid,2023-07-06,Financing,
INV-20240029,CUST10274,ORD100639,2023-10-23,2023-11-22,85281,6822.48,0,83575.48,Paid,2023-11-15,Wire Transfer,Contact accounting for questions
INV-20240030,CUST10115,ORD100741,2023-03-20,2023-04-19,120434,9634.72,0,124047.72,Paid,2023-04-08,Financing,Contact accounting for questions
INV-20240031,CUST10179,ORD100281,2023-11-27,2023-12-27,167211,13376.88,0,172227.88,Overdue,,Purchase Order,Thank you for your business
INV-20240032,CUST10103,ORD100141,2023-06-05,2023-07-05,125183,10014.64,0,122679.64,Overdue,,Financing,
INV-20240033,CUST10414,ORD100335,2023-01-14,2023-02-13,84059,6724.72,0,86581.72,Overdue,,Credit Card,Thank you for your business
