month,vendor_id,vendor_name,category,total_spend,num_invoices,avg_invoice_amount,payment_terms,on_time_payment_pct
2023-11,VEN-001,Precision Components Inc,Component Supplier,236617.23,1,236617.23,Net 45,89.7
2023-11,VEN-002,TechMotion Systems,Component Supplier,262616.09,3,87538.7,Net 45,94.4
2023-11,VEN-003,Industrial Sensors Co,Component Supplier,104025.56,7,14860.79,Due on Receipt,94.9
2023-11,VEN-004,Atlas Logistics,Logistics Provider,40428.22,3,13476.07,Due on Receipt,91.8
2023-11,VEN-005,CloudSoft Solutions,Software Vendor,27364.66,4,6841.17,Due on Receipt,92.2
2023-11,VEN-006,Enterprise Systems Inc,Software Vendor,19221.49,1,19221.49,Net 45,96.8
2023-11,VEN-007,DataGuard Security,Software Vendor,33883.05,3,11294.35,Net 45,95.0
2023-11,VEN-008,BuildRight Construction,Facility Services,58694.32,1,58694.32,Due on Receipt,92.9
2023-11,VEN-009,Bright Marketing Group,Marketing Agency,30027.97,8,3753.5,Net 60,89.0
2023-11,VEN-010,Strategic Advisors LLC,Consulting,34486.27,2,17243.14,Net 60,90.7
2023-11,VEN-011,Premier Insurance Group,Insurance Provider,19559.95,7,2794.28,Net 30,92.5
2023-11,VEN-012,Elite Equipment Supply,Equipment Supplier,39131.18,3,13043.73,Net 45,93.9
2023-11,VEN-013,Global Freight Services,Logistics Provider,70127.47,4,17531.87,Net 30,99.5
2023-11,VEN-014,Innovation Labs,Professional Services,37517.84,4,9379.46,Net 60,99.2
2023-11,VEN-015,Metro Facilities Management,Facility Services,25725.42,2,12862.71,Net 60,99.9
2023-12,VEN-001,Precision Components Inc,Component Supplier,296515.51,4,74128.88,Net 30,88.1
2023-12,VEN-002,TechMotion Systems,Component Supplier,199359.54,1,199359.54,Due on Receipt,91.7
2023-12,VEN-003,Industrial Sensors Co,Component Supplier,292621.26,4,73155.31,Due on Receipt,85.2
2023-12,VEN-004,Atlas Logistics,Logistics Provider,49875.69,5,9975.14,Net 45,87.9
