req_id,job_title,department,job_level,posted_date,status,current_stage,num_applicants,num_screened,num_phone_interviews,num_onsite_interviews,num_offers,days_to_hire,days_open,source,hiring_manager,priority
REQ-00001,Accountant,Customer Service,Manager,2025-09-01,Open,Technical Interview,129,67,16,9,0,,51,Recruiter,Marcus Johnson,Medium
REQ-00002,Robotics Engineer,Manufacturing,Senior,2025-05-29,Closed,Accepted,42,20,8,4,1,58,146,Referral,Nicole Sanders,Low
REQ-00003,Marketing Manager,Sales & Marketing,Director,2025-05-16,Open,Final Interview,63,34,15,9,0,,159,Indeed,Amanda Foster,High
REQ-00004,Robotics Engineer,Human Resources,Mid,2025-05-24,Open,Sourcing,98,29,9,5,0,,151,Career Fair,Jennifer Park,Medium
REQ-00005,Customer Support Specialist,Product Development,Lead,2025-06-23,Open,Sourcing,133,57,25,15,0,,121,LinkedIn,Chris Patel,High
REQ-00006,Software Engineer,Finance,Executive,2025-06-15,Open,Offer,55,21,9,5,1,,129,LinkedIn,Chris Patel,Medium
REQ-00007,Operations Manager,Quality Assurance,Director,2025-10-02,Open,Final Interview,128,39,15,9,0,,20,Referral,Nicole Sanders,Low
REQ-00008,Financial Analyst,IT & Systems,Mid,2025-06-23,Closed,Accepted,136,80,17,10,1,33,121,Company Website,Kevin O'Brien,Low
REQ-00009,Software Engineer,Customer Service,VP,2025-10-08,Open,Technical Interview,77,35,8,4,0,,14,Indeed,Kevin O'Brien,Low
REQ-00010,Robotics Engineer,Quality Assurance,Executive,2025-04-26,Open,Sourcing,129,64,22,13,0,,179,LinkedIn,Marcus Johnson,Medium
REQ-00011,Quality Engineer,Manufacturing,Lead,2025-07-16,Closed,Accepted,57,18,8,4,1,62,98,Career Fair,Kevin O'Brien,Medium
REQ-00012,Operations Manager,Manufacturing,Executive,2025-06-22,Open,Screening,60,25,9,5,0,,122,Company Website,Nicole Sanders,High
REQ-00013,Robotics Engineer,Executive Leadership,Mid,2025-06-03,Open,Final Interview,57,21,8,4,0,,141,Recruiter,Chris Patel,High
REQ-00014,Production Supervisor,IT & Systems,Director,2025-06-24,Open,Final Interview,123,56,20,12,0,,120,Indeed,Chris Patel,Low
REQ-00015,Account Executive,Product Development,Manager,2025-10-21,Closed,Accepted,125,42,20,12,1,49,1,Recruiter,Kevin O'Brien,High
REQ-00016,Robotics Engineer,Human Resources,Mid,2025-08-30,Open,Screening,75,44,17,10,0,,53,Referral,Amanda Foster,Low
REQ-00017,Senior Software Engineer,Sales & Marketing,Senior,2025-06-12,Open,Screening,39,12,5,3,0,,132,Indeed,Sophia Nguyen,Medium
REQ-00018,Sales Manager,Finance,Entry,2025-08-21,Open,Phone Interview,87,38,12,7,0,,62,Referral,Nicole Sanders,Medium
REQ-00019,HR Coordinator,Product Development,Entry,2025-06-11,Open,Sourcing,73,35,15,9,0,,133,Company Website,Nicole Sanders,High
